id,fasting_ability
214826,0.7922691
190593,0.34001034
244158,0.959586
238278,0.26390517
198305,0.61083585
203791,0.4071834
174919,0.9768421
172487,0.98563516
258530,0.976694
190875,0.9202334
274762,0.7456886
252173,0.57779086
184295,0.91890556
149505,0.4797968
180940,0.22285613
197350,0.86440706
183108,0.8663537
251997,0.90356994
277602,0.4628926
242205,0.8646194
229174,0.54123414
233567,0.6346319
190085,0.7976241
236115,0.79363006
266922,0.84937537
276531,0.84302837
153339,0.8879871
216542,0.93137586
233075,0.8782575
212990,0.33371156
209506,0.9427996
264017,0.6666352
213334,0.76807094
174570,0.35672057
193528,0.9897776
157322,0.9551766
197521,0.8647912
210042,0.9902384
237132,0.96028876
208436,0.9483084
186924,0.91782594
156600,0.25185564
221872,0.9611624
215895,0.77167004
243380,0.9535152
273554,0.9716912
278467,0.20948653
158608,0.84688896
172488,0.60084075
278276,0.41626748
173233,0.9896408
170666,0.67733
226639,0.98136234
260462,0.7593735
198605,0.18013407
272283,0.32788387
218366,0.9230933
183290,0.89551395
242275,0.71077996
164000,0.39409006
234866,0.9433178
236272,0.75685036
244705,0.93757904
151607,0.9492854
203731,0.24871752
179462,0.9698066
220890,0.96935993
221318,0.38184163
253761,0.5964679
239376,0.8067432
277215,0.8148284
230802,0.9590521
231721,0.7797751
161491,0.4457048
166772,0.2624751
213422,0.96621877
236490,0.88269526
194811,0.44366252
169162,0.5124907
217802,0.3999352
237150,0.9545818
202555,0.48517764
268546,0.9830443
169195,0.8985971
190321,0.4663449
239106,0.60038835
215241,0.9477187
188394,0.89334065
250436,0.86178595
258388,0.5787653
274722,0.8130011
180698,0.8473245
162087,0.9371688
248503,0.96103936
232427,0.759534
252901,0.9314963
225509,0.83645767
278672,0.75177747
169672,0.95016354
154504,0.9383753
225921,0.21396412
275069,0.52034074
151650,0.51584816
154482,0.83833987
204787,0.45383275
162684,0.96710646
267224,0.59058195
261308,0.7025343
209750,0.9364838
275479,0.97207415
198405,0.7979739
188941,0.9579376
236604,0.7730428
